"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"IO273",-33.99868897,114.8213721,20201019,07:07:00,"C.IO.22","South-west","Yes","Yes",0,0,20,20,0,0,1,0,17,0,1,0,0,0,0,19
"IO275",-34.09868897,114.6463721,20201123,14:38:00,"C.IO.15","South-west","Yes","Yes",0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,20
"IO276",-34.10118897,114.6363721,20201123,07:34:00,"C.IO.15","South-west","Yes","Yes",0,2,38,40,0,1,0,0,0,0,0,1,0,0,30,32
"IO277",-34.10618897,114.6463721,20201123,07:53:00,"C.IO.15","South-west","Yes","Yes",0,3,37,40,0,2,0,1,0,7,0,1,0,0,26,37
"IO278",-34.11118897,114.6388721,20201123,07:45:00,"C.IO.15","South-west","Yes","Yes",0,1,39,40,0,2,0,0,0,0,0,1,0,0,35,38
"IO280",-34.08868897,114.6738721,20201023,09:24:00,"C.IO.14","South-west","Yes","Yes",0,1,39,40,0,1,0,0,0,0,0,1,0,0,28,30
"IO282",-34.14618897,114.5438721,20201029,07:20:00,"C.IO.18","South-west","No","No (No folder for this camera no)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO290",-34.06868897,114.7188721,20201023,07:07:00,"C.IO.13","South-west","Yes","Yes",0,2,39,41,0,2,0,1,0,0,0,2,0,0,32,37
"IO291",-34.08368897,114.7488721,20201022,13:09:00,"C.IO.12","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,30,30
"IO293",-34.08868897,114.7588721,20201022,12:55:00,"C.IO.12","South-west","Yes","Yes",0,2,38,40,0,4,0,3,0,2,0,0,0,0,18,27
"IO294",-34.08368897,114.7538721,20201022,13:04:00,"C.IO.12","South-west","Yes","Yes",0,1,40,41,0,6,0,0,0,0,0,3,0,0,29,38
"IO295",-34.10368897,114.7538721,20201022,12:25:00,"C.IO.11","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,0,0,0,32,32
"IO297",-34.10618897,114.7488721,20201022,12:21:00,"C.IO.11","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,26,26
"IO298",-34.07618897,114.6713721,20201023,09:39:00,"C.IO.14","South-west","Yes","Yes",0,1,39,40,0,1,0,0,0,0,0,0,0,0,38,39
"IO299",-34.08118897,114.6763721,20201023,09:32:00,"C.IO.14","South-west","Yes","Yes",0,1,39,40,0,1,0,0,0,0,0,0,0,0,33,34
"IO3",-34.07618897,114.7838721,20201015,12:03:00,"C.IO.43","South-west","Yes","Yes",0,0,39,39,0,0,6,1,14,0,0,12,0,0,3,36
"IO300",-34.08618897,114.6688721,20201123,07:18:00,"C.IO.14","South-west","Yes","Yes",0,4,36,40,0,1,0,0,0,0,0,2,0,0,28,31
"IO302",-34.07118897,114.7238721,20201023,07:13:00,"C.IO.13","South-west","Yes","Yes",0,6,34,40,0,0,0,0,0,0,0,0,0,0,31,31
"IO306",-34.10118897,114.7338721,20201022,10:29:00,"C.IO.10","South-west","Yes","Yes",0,1,38,39,0,0,0,0,0,0,0,0,0,0,37,37
"IO307",-34.11868897,114.7263721,20201022,09:56:00,"C.IO.9","South-west","Yes","Yes",0,2,38,40,0,4,0,0,0,0,0,1,0,0,29,34
"IO308",-34.11118897,114.7288721,20201022,10:06:00,"C.IO.9","South-west","Yes","Yes",0,3,37,40,0,1,0,0,0,0,0,1,0,0,33,35
"IO310",-34.05868897,114.7738721,20201015,10:06:00,"C.IO.8","South-west","Yes","Yes",0,0,40,40,0,3,3,0,1,0,0,5,0,0,24,36
"IO311",-34.05618897,114.7688721,20201015,10:03:00,"C.IO.8","South-west","Yes","Yes",0,1,39,40,0,14,2,5,2,2,0,4,0,0,1,30
"IO312",-34.05868897,114.7788721,20201015,10:17:00,"C.IO.8","South-west","Yes","Yes",0,3,37,40,0,6,3,3,5,0,0,4,0,0,9,30
"IO313",-34.09618897,114.7563721,20201022,12:47:00,"C.IO.11","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,37,37
"IO319",-34.09368897,114.7313721,20201022,10:37:00,"C.IO.10","South-west","Yes","Yes",0,1,39,40,0,4,0,0,0,0,0,1,0,0,33,38
"IO323",-34.03103333,114.6001,20201123,09:48:00,"C.IO.27","South-west","Yes","Yes",0,2,38,40,0,1,0,0,0,0,0,3,0,0,31,35
"IO324",-34.00006,114.639778,20201023,11:59:00,"C.IO.26","South-west","Yes","Yes",0,1,39,40,0,2,0,0,0,0,0,0,0,0,32,34
"IO325",-33.991557,114.743378,20201015,07:44:00,"C.IO.25","South-west","Yes","Yes",0,2,38,40,0,8,4,1,0,0,0,3,0,0,18,34
"IO326",-34.00425,114.6892833,20201123,12:26:00,"C.IO.24","South-west","Yes","Yes",0,0,20,20,0,0,0,0,0,0,0,2,0,0,18,20
"IO327",-34.02946667,114.7623833,20201015,08:17:00,"C.IO.23","South-west","Yes","Yes",0,0,40,40,0,13,0,7,0,3,0,7,0,0,0,30
"IO328",-33.99356667,114.8213667,20201019,07:13:00,"C.IO.22","South-west","Yes","Yes",0,0,40,40,0,0,4,0,25,0,7,0,0,0,3,39
"IO329",-34.06481667,114.7266333,20201023,07:18:00,"C.IO.13","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,36,36
