"campaignid","sample","longitude","latitude","depth","broad.seagrasses","date","id"
"2021-03_West-Coast_BOSS","116",114.919,-34.1138,45.1,1,"20210308","2021-03_West-Coast_BOSS.116"
"2021-03_West-Coast_BOSS","69",114.911,-34.1187,43.7,9,"20210308","2021-03_West-Coast_BOSS.69"
"2021-03_West-Coast_BOSS","138",114.912,-34.119,41.8,26,"20210308","2021-03_West-Coast_BOSS.138"
"2021-03_West-Coast_BOSS","76",114.916,-34.1217,43.3,22,"20210308","2021-03_West-Coast_BOSS.76"
"2021-03_West-Coast_BOSS","144",114.92,-34.1221,43.2,9,"20210308","2021-03_West-Coast_BOSS.144"
"2021-03_West-Coast_BOSS","37",114.931,-34.1303,46.5,4,"20210308","2021-03_West-Coast_BOSS.37"
"2021-03_West-Coast_BOSS","102",114.926,-34.1305,35.3,26,"20210308","2021-03_West-Coast_BOSS.102"
"2021-03_West-Coast_BOSS","57",114.924,-34.1341,44.4,14,"20210308","2021-03_West-Coast_BOSS.57"
"2021-03_West-Coast_BOSS","24",114.923,-34.1347,39.9,17,"20210308","2021-03_West-Coast_BOSS.24"
"2021-03_West-Coast_BOSS","70",114.922,-34.1321,38.7,52,"20210308","2021-03_West-Coast_BOSS.70"
"2021-03_West-Coast_BOSS","62",114.919,-34.1281,40.4,6,"20210308","2021-03_West-Coast_BOSS.62"
"2021-03_West-Coast_BOSS","104",114.918,-34.1255,41.8,20,"20210308","2021-03_West-Coast_BOSS.104"
"2021-03_West-Coast_BOSS","30",114.915,-34.1256,41.7,15,"20210308","2021-03_West-Coast_BOSS.30"
"2021-03_West-Coast_BOSS","95",114.91,-34.1229,41.2,7,"20210308","2021-03_West-Coast_BOSS.95"
