X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.6688721,-34.05118897,MBH,108,Y,23/10/2020,,,110,c3364c96-ccfd-48bd-aea2-7a7edf1363c0,114.6688721,-34.05118897
114.6738721,-34.05618897,MBH,109,Y,23/10/2020,,,111,5fcca8df-6092-448c-856c-f707167b64df,114.6738721,-34.05618897
114.7288721,-34.14118897,MBH,110,Y,22/10/2020,Y,4/11/2020,112,24361f37-5d31-4fc5-9e99-8728c3249ccb,114.7288721,-34.14118897
114.7413721,-34.05118897,MBH,111,,,,,113,e5ff1ed9-ec2b-4fa8-880b-c1821117b547,114.7413721,-34.05118897
114.7463721,-34.05368897,MBH,112,,,,,114,b72a5e3c-d26a-4a99-a6dc-f16833abc58e,114.7463721,-34.05368897
114.7388721,-34.05868897,MBH,113,Y,23/10/2020,Y,8/11/2020,115,780acd90-b0ea-474d-b149-a3e13268973f,114.7388721,-34.05868897
114.7438721,-34.06368897,MBH,114,,,,,116,5fec63a7-e2ab-44dd-9032-a4d937e0c8f0,114.7438721,-34.06368897
114.7363721,-34.05368897,MBH,115,Y,23/10/2020,Y,8/11/2020,117,7503ab08-b17e-4a43-851b-124ab90343d8,114.7363721,-34.05368897
114.7463721,-34.05868897,MBH,116,,,,,118,9ff18634-ddd4-42b3-afbf-80689799b1a6,114.7463721,-34.05868897
114.7388721,-34.06368897,MBH,117,Y,23/10/2020,Y,8/11/2020,119,f2a13022-5e6a-4399-85fb-01d6836b8c5d,114.7388721,-34.06368897
114.5138721,-34.13618897,MBH,118,,,,,120,bbcf6b1e-288f-4791-b446-146960463c89,114.5138721,-34.13618897
114.9038721,-34.07618897,MBH,119,Y,29/10/2020,Y,31/10/2020,121,dd71eeea-85e1-4832-9875-ce7910bc4413,114.9038721,-34.07618897
114.9063721,-34.08118897,MBH,120,,,,,122,2ebd352a-c3dd-408a-a0d5-193c254b72b1,114.9063721,-34.08118897
114.8988721,-34.06868897,MBH,121,,,,,123,dfce4f89-9f8e-4d5b-a1d2-a50fcb2deda2,114.8988721,-34.06868897
114.8263721,-34.11618897,MBH,122,Y,15/10/2020,,,124,a49d387c-7083-440a-ae29-5103a91e1a1e,114.8263721,-34.11618897
114.8188721,-34.10618897,MBH,123,Y,15/10/2020,,,125,55f784c8-8658-4b6f-8198-dc0ada86ad26,114.8188721,-34.10618897
114.8188721,-34.11868897,MBH,124,,,,,126,8f1c5543-7960-480a-9afe-b61ca55ab3d1,114.8188721,-34.11868897
114.8263721,-34.10868897,MBH,125,Y,15/10/2020,,,127,2adad0df-6ba6-4c68-b9bf-7a13c0d5ca75,114.8263721,-34.10868897
114.6888721,-33.97118897,MBH,127,,,,,128,8fbea5f4-9a77-4e58-8905-f373bc96c84a,114.6888721,-33.97118897
114.6913721,-33.97618897,MBH,128,,,,,129,4f9cfe37-f3d5-4275-bb2b-90d7510fdede,114.6913721,-33.97618897
114.6963721,-33.97368897,MBH,129,,,,,130,0329d827-1145-4557-b729-2b916e14827b,114.6963721,-33.97368897
114.8763721,-33.98118897,MBH,130,Y,13/10/2020,Y,30/10/2020,131,34240485-82e5-40cb-8360-5723e6de1d02,114.8763721,-33.98118897
114.8688721,-33.98618897,MBH,131,,,,,132,4cf7f0c0-53ae-444b-81fd-c3569a6f7bbc,114.8688721,-33.98618897
114.8713721,-33.99118897,MBH,132,Y,13/10/2020,Y,30/10/2020,133,75f382f2-3f0c-4215-800d-142aa477d694,114.8713721,-33.99118897
114.8663721,-33.99118897,MBH,133,Y,13/10/2020,Y,30/10/2020,134,39a1b7ee-484f-4ff4-91bd-bd70e5863a15,114.8663721,-33.99118897
114.8613721,-33.98368897,MBH,134,Y,13/10/2020,Y,30/10/2020,135,327d7ea4-b79b-4728-b66e-ab9aeaa08569,114.8613721,-33.98368897
114.4838721,-34.03368897,MBH,135,,,Y,7/11/2020,136,24e54658-c9d6-4da1-8bbc-4b93a83f6dd0,114.4838721,-34.03368897
114.4788721,-34.02868897,MBH,136,,,Y,7/11/2020,137,734620d5-e84d-4244-9350-c82dcb624c17,114.4788721,-34.02868897
114.4938721,-34.03368897,MBH,137,,,,,138,9468750a-0d8d-4679-911a-94ebd5b59320,114.4938721,-34.03368897
114.4863721,-34.02618897,MBH,138,,,,,139,39191f27-0f9f-434f-ba7e-28c0363d3778,114.4863721,-34.02618897
114.4888721,-34.03118897,MBH,139,,,,,140,ed22d7bf-7a80-4d75-8694-b68602944464,114.4888721,-34.03118897
114.6913721,-33.98368897,MBH,140,,,,,141,186dd273-bf79-4631-b003-6ff4bb2b2d1a,114.6913721,-33.98368897
114.6938721,-33.96868897,MBH,141,,,,,142,78872b69-230f-43e8-b794-f57e3a5f3841,114.6938721,-33.96868897
114.6963721,-33.97868897,MBH,142,,,,,143,f5f59621-7495-4336-8b6d-cbc21e546a0f,114.6963721,-33.97868897
114.8338721,-33.97368897,MBH,143,,,,,144,3749e1a9-31cf-4a1f-a99a-5e5be01e0229,114.8338721,-33.97368897
114.8263721,-33.97868897,MBH,144,,,,,145,62145d1b-29ae-487c-a28a-56c1c361f180,114.8263721,-33.97868897
114.8238721,-33.98618897,MBH,145,Y,13/10/2020,Y,30/10/2020,146,ada973d1-52c7-4cb2-9c59-8fa5364a09d5,114.8238721,-33.98618897
114.8213721,-33.97618897,MBH,146,Y,13/10/2020,Y,30/10/2020,147,7a50a508-ab2d-4611-a14b-58d1628cddf5,114.8213721,-33.97618897
114.8313721,-33.98118897,MBH,147,Y,13/10/2020,Y,30/10/2020,148,ec0e6424-e437-424e-a335-4dcd8f9b7414,114.8313721,-33.98118897
114.5963721,-34.01118897,MBH,148,,,,,149,663bcf25-81b8-4895-be52-1a32a7bf9404,114.5963721,-34.01118897
114.5813721,-34.00118897,MBH,149,,,,,150,9107ffda-a0a0-4c29-8353-23471a396f51,114.5813721,-34.00118897
114.5913721,-34.00368897,MBH,150,,,,,151,992e7d28-c8ba-42e2-a3a0-728831186d0c,114.5913721,-34.00368897
114.8763721,-33.98868897,MBH,151,,,,,152,5c84539e-0b9c-44dd-b667-133f6830682a,114.8763721,-33.98868897
114.8688721,-33.98118897,MBH,152,Y,13/10/2020,Y,30/10/2020,153,0abe8cbb-96c6-437a-aa31-68f770ce6c21,114.8688721,-33.98118897
114.8888721,-34.04618897,MBH,153,Y,16/10/2020,,,154,f61c85ef-2b8d-46a0-b5e4-9f6b7897ba5e,114.8888721,-34.04618897
