"campaignid","sample","filename","periodtime","family","genus","species","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","0.28695","Pempherididae","Parapriacanthus","elongatus",53,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","2.03092","Scorpididae","Neatypus","obliquus",14,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","111","20210311_0735-1315_TOP_0024.mp4","0.61923","Labridae","Pseudolabrus","biserialis",5,NA,NA,"-34.1035","114.812","20210311",NA,"West Coast","No-take",NA,"49.9","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","111","20210311_0735-1315_TOP_0025.mp4","2.15215","Scorpididae","Neatypus","obliquus",3,NA,NA,"-34.1035","114.812","20210311",NA,"West Coast","No-take",NA,"49.9","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","112","20210310_0737-1601_TOP_0038.mp4","1.33522","Labridae","Austrolabrus","maculatus",1,NA,NA,"-34.0897","114.779","20210310",NA,"West Coast","No-take",NA,"64.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","112","20210310_0737-1601_TOP_0038.mp4","1.08775","Labridae","Coris","auricularis",1,NA,NA,"-34.0897","114.779","20210310",NA,"West Coast","No-take",NA,"64.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","112","20210310_0737-1601_TOP_0038.mp4","2.00812","Labridae","Suezichthys","bifurcatus",1,NA,NA,"-34.0897","114.779","20210310",NA,"West Coast","No-take",NA,"64.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","112","20210310_0737-1601_TOP_0038.mp4","1.29880","Scorpididae","Neatypus","obliquus",6,NA,NA,"-34.0897","114.779","20210310",NA,"West Coast","No-take",NA,"64.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","112","20210310_0737-1601_TOP_0038.mp4","1.50206","Serranidae","Caesioperca","spp",6,NA,NA,"-34.0897","114.779","20210310",NA,"West Coast","No-take",NA,"64.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","113","20210310_0737-1601_TOP_0048.mp4","1.47008","SUS","SUS","SUS",1,NA,NA,"-34.0809","114.78","20210310",NA,"West Coast","No-take",NA,"64.4","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","2.72578","Labridae","Austrolabrus","maculatus",1,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","1.47175","Labridae","Coris","auricularis",4,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","2.67239","Labridae","Ophthalmolepis","lineolatus",1,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","1.50984","Labridae","Pseudolabrus","biserialis",6,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","1.84073","Pomacentridae","Chromis","klunzingeri",18,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","1.43338","Scorpididae","Neatypus","obliquus",2,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","114","20210309_0735-1530_TOP_0017_0001.mp4","1.97419","Serranidae","Caesioperca","spp",6,NA,NA,"-34.0969","114.834","20210309",NA,"West Coast","No-take",NA,"46.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","115","20210310_0737-1601_TOP_0034.mp4","2.43883","Labridae","Suezichthys","bifurcatus",2,NA,NA,"-34.1013","114.774","20210310",NA,"West Coast","No-take",NA,"80.2","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","115","20210310_0737-1601_TOP_0034.mp4","1.69669","Monacanthidae","Meuschenia","scaber",1,NA,NA,"-34.1013","114.774","20210310",NA,"West Coast","No-take",NA,"80.2","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0097.mp4","0.24636","Glaucosomatidae","Glaucosoma","hebraicum",2,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0097.mp4","0.19853","Labridae","Achoerodus","gouldii",2,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0098.mp4","2.51918","Labridae","Austrolabrus","maculatus",2,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0098.mp4","2.20415","Labridae","Coris","auricularis",7,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0098.mp4","2.86064","Labridae","Eupetrichthys","angustipes",1,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0098.mp4","1.52347","Labridae","Ophthalmolepis","lineolatus",1,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0097.mp4","1.20092","Labridae","Pseudolabrus","biserialis",8,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116","20210308_0735-1537_TOP_0097.mp4","0.19853","Scorpididae","Scorpis","georgiana",1,NA,NA,"-34.1138","114.919","20210308",NA,"West Coast","No-take",NA,"45.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","117","20210310_0737-1601_TOP_0003.mp4","0.09954","Labridae","Suezichthys","bifurcatus",1,NA,NA,"-34.0681","114.76","20210310",NA,"West Coast","No-take",NA,"87.6","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","118","20210309_0735-1530_TOP_0021_0001.mp4","0.83862","Labridae","Eupetrichthys","angustipes",1,NA,NA,"-34.0714","114.826","20210309",NA,"West Coast","No-take",NA,"47.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","118","20210309_0735-1530_TOP_0021_0001.mp4","1.31187","Labridae","Ophthalmolepis","lineolatus",1,NA,NA,"-34.0714","114.826","20210309",NA,"West Coast","No-take",NA,"47.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","118","20210309_0735-1530_TOP_0021_0001.mp4","0.78690","Labridae","Pseudolabrus","biserialis",4,NA,NA,"-34.0714","114.826","20210309",NA,"West Coast","No-take",NA,"47.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","118","20210309_0735-1530_TOP_0021_0001.mp4","2.21805","Mullidae","Upeneichthys","vlamingii",1,NA,NA,"-34.0714","114.826","20210309",NA,"West Coast","No-take",NA,"47.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","118","20210309_0735-1530_TOP_0021_0001.mp4","0.03114","Pomacentridae","Chromis","klunzingeri",12,NA,NA,"-34.0714","114.826","20210309",NA,"West Coast","No-take",NA,"47.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","119","20210311_0735-1315_TOP_0011.mp4","1.33050","Labridae","Suezichthys","bifurcatus",4,NA,NA,"-34.0634","114.771","20210311",NA,"West Coast","No-take",NA,"64.8","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","119","20210311_0735-1315_TOP_0011.mp4","1.12195","Serranidae","Caesioperca","spp",3,NA,NA,"-34.0634","114.771","20210311",NA,"West Coast","No-take",NA,"64.8","Claude","Yes","No",NA,NA,"RAW3","CON1"
