"sample","date","time.bottom","north.image.name","north.points.annotated","east.image.name","east.points.annotated","south.image.name","south.points.annotated","west.image.name","west.points.annotated"
"191",20201111,11:44:55,"191N.jpg",20,"191E.jpg",20,"191S.jpg",20,"191W.jpg",20
"194",20201111,11:57:09,"194N.jpg",20,"194E.jpg",20,"194S.jpg",20,"194W.jpg",20
"189",20201111,12:08:49,"189N.jpg",20,"189E.jpg",20,"189S.jpg",20,"189W.jpg",20
"192",20201111,12:19:02,"192N.jpg",20,"192E.jpg",20,"192S.jpg",20,"192W.jpg",20
"326",20201111,12:36:42,"326N.jpg",20,"326E.jpg",20,"326S.jpg",20,"326W.jpg",20
"364",20201111,12:46:27,"364N.jpg",20,"364E.jpg",20,"364S.jpg",20,"364W.jpg",20
"252",20201111,12:55:36,"252N.jpg",20,"252E.jpg",20,"252S.jpg",20,"252W.jpg",20
"250",20201111,13:06:10,"250N.jpg",20,"250E.jpg",20,"250S.jpg",20,"250W.jpg",20
"254",20201111,13:16:56,"254N.jpg",20,"254E.jpg",20,"254S.jpg",20,"254W.jpg",20
"253",20201111,13:27:37,"253N.jpg",20,"253E.jpg",20,"253S.jpg",20,"253W.jpg",20
"251",20201111,13:37:17,"251N.jpg",20,"251E.jpg",20,"251S.jpg",20,"251W.jpg",20
"71",20201111,13:47:50,"71N.jpg",20,"71E.jpg",20,"71S.jpg",20,"71W.jpg",20
"180",20201111,13:58:35,"180N.jpg",20,"180E.jpg",20,"180S.jpg",20,"180W.jpg",20
"CP11-1",20201111,14:08:52,"CP11-1N.jpg",20,"CP11-1E.jpg",20,"CP11-1S.jpg",20,"CP11-1W.jpg",20
"181",20201111,14:18:40,"181N.jpg",20,"181E.jpg",20,"181S.jpg",20,"181W.jpg",20
"CP11-2",20201111,14:32:11,"CP11-2N.jpg",20,"CP11-2E.jpg",20,"CP11-2S.jpg",20,"CP11-2W.jpg",20
"J11",20201119,06:58:19,NA,50,NA,50,NA,50,NA,50
"J12",20201119,07:05:56,NA,50,NA,50,NA,50,NA,50
"J9",20201119,07:13:23,NA,50,NA,50,NA,50,NA,50
"J10",20201119,07:20:50,NA,50,NA,50,NA,50,NA,50
"J1",20201119,07:29:32,NA,50,NA,50,NA,50,NA,50
"J2",20201119,07:37:40,NA,50,NA,50,NA,50,NA,50
"J3",20201119,07:44:54,NA,50,NA,50,NA,50,NA,50
"J4",20201119,07:52:40,NA,50,NA,50,NA,50,NA,50
"J8",20201119,08:03:44,NA,50,NA,50,NA,50,NA,50
"J6",20201119,08:11:29,NA,50,NA,50,NA,50,NA,50
"J5",20201119,08:19:57,NA,50,NA,50,NA,50,NA,50
"J7",20201119,08:27:10,NA,50,NA,50,NA,50,NA,50
"J17",20201119,08:41:02,NA,50,NA,50,NA,50,NA,50
"J14",20201119,08:48:29,NA,50,NA,50,NA,50,NA,50
"J16",20201119,08:56:44,NA,50,NA,50,NA,50,NA,50
"J15",20201119,09:03:36,NA,50,NA,50,NA,50,NA,50
"J13",20201119,09:11:19,NA,50,NA,50,NA,50,NA,50
"J18",20201119,09:18:36,NA,50,NA,50,NA,50,NA,50
"J24",20201119,09:28:14,NA,50,NA,50,NA,50,NA,50
"J26",20201119,09:35:38,NA,50,NA,50,NA,50,NA,50
"J25",20201119,09:43:40,NA,50,NA,50,NA,50,NA,50
"J32",20201119,09:54:43,NA,50,NA,50,NA,50,NA,50
"J30",20201119,10:01:46,NA,50,NA,50,NA,50,NA,50
"J28",20201119,10:09:12,NA,50,NA,50,NA,50,NA,50
"J29",20201119,10:16:30,NA,50,NA,50,NA,50,NA,50
"J31",20201119,10:24:15,NA,50,NA,50,NA,50,NA,50
"J27",20201119,10:31:14,NA,50,NA,50,NA,50,NA,50
"J19",20201119,11:11:13,NA,51,NA,50,NA,50,NA,50
"J21",20201119,11:18:42,NA,50,NA,50,NA,50,NA,50
"J22",20201119,11:26:32,NA,51,NA,50,NA,50,NA,50
"J34",20201119,11:34:05,NA,50,NA,50,NA,50,NA,50
"J36",20201119,11:41:09,NA,50,NA,50,NA,50,NA,50
"J35",20201119,11:49:38,NA,50,NA,50,NA,50,NA,50
"J33",20201119,11:57:39,NA,50,NA,50,NA,50,NA,50
"J38",20201119,12:04:47,NA,50,NA,50,NA,50,NA,50
"J37",20201119,12:12:46,NA,50,NA,50,NA,50,NA,50
"J20",20201119,12:23:27,NA,50,NA,50,NA,50,NA,50
"122",20201119,12:31:15,"122N.jpg",20,"122E.jpg",20,"122S.jpg",20,"122W.jpg",20
"125",20201119,12:40:33,"125N.jpg",20,"125E.jpg",20,"125S.jpg",20,"125W.jpg",20
"123",20201119,12:49:26,"123N.jpg",20,"123E.jpg",20,"123S.jpg",20,"123W.jpg",20
"126",20201119,12:58:23,"126N.jpg",20,"126E.jpg",20,"126S.jpg",20,"126W.jpg",20
"293",20201119,13:22:25,"293N.jpg",20,"293E.jpg",20,"293S.jpg",20,"293W.jpg",20
"330",20201119,13:31:34,"330N.jpg",20,"330E.jpg",20,"330S.jpg",20,"330W.jpg",20
"C04",20201119,13:41:55,"C04N.jpg",20,"C04E.jpg",20,"C04S.jpg",20,"C04W.jpg",20
"291",20201119,13:51:37,"291N.jpg",20,"291E.jpg",20,"291S.jpg",20,"291W.jpg",20
